PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Cabin_Known,Title
1,0,3,"Braund, Mr. Owen Harris",Male,22.0,1,0,A/5 21171,7.25,Unknown,S,0,Mr
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Female,38.0,1,0,PC 17599,65.63,C85,C,1,Mrs
3,1,3,"Heikkinen, Miss. Laina",Female,26.0,0,0,STON/O2. 3101282,7.92,Unknown,S,0,Miss
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Female,35.0,1,0,113803,53.1,C123,S,1,Mrs
5,0,3,"Allen, Mr. William Henry",Male,35.0,0,0,373450,8.05,Unknown,S,0,Mr
6,0,3,"Moran, Mr. James",Male,25.0,0,0,330877,8.46,Unknown,Q,0,Mr
7,0,1,"McCarthy, Mr. Timothy J",Male,54.0,0,0,17463,51.86,E46,S,1,Mr
8,0,3,"Palsson, Master. Gosta Leonard",Male,2.0,3,1,349909,21.08,Unknown,S,0,Master
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",Female,27.0,0,2,347742,11.13,Unknown,S,0,Mrs
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",Female,14.0,1,0,237736,30.07,Unknown,C,0,Mrs
11,1,3,"Sandstrom, Miss. Marguerite Rut",Female,4.0,1,1,PP 9549,16.7,G6,S,1,Miss
12,1,1,"Bonnell, Miss. Elizabeth",Female,58.0,0,0,113783,26.55,C103,S,1,Miss
13,0,3,"Saundercock, Mr. William Henry",Male,20.0,0,0,A/5. 2151,8.05,Unknown,S,0,Mr
14,0,3,"Andersson, Mr. Anders Johan",Male,39.0,1,5,347082,31.28,Unknown,S,0,Mr
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",Female,14.0,0,0,350406,7.85,Unknown,S,0,Miss
16,1,2,"Hewlett, Mrs. (Mary D Kingcome)",Female,55.0,0,0,248706,16.0,Unknown,S,0,Mrs
17,0,3,"Rice, Master. Eugene",Male,2.0,4,1,382652,29.12,Unknown,Q,0,Master
18,1,2,"Williams, Mr. Charles Eugene",Male,30.0,0,0,244373,13.0,Unknown,S,0,Mr
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",Female,31.0,1,0,345763,18.0,Unknown,S,0,Mrs
20,1,3,"Masselmani, Mrs. Fatima",Female,21.5,0,0,2649,7.22,Unknown,C,0,Mrs
21,0,2,"Fynney, Mr. Joseph J",Male,35.0,0,0,239865,26.0,Unknown,S,0,Mr
22,1,2,"Beesley, Mr. Lawrence",Male,34.0,0,0,248698,13.0,D56,S,1,Mr
23,1,3,"McGowan, Miss. Anna ""Annie""",Female,15.0,0,0,330923,8.03,Unknown,Q,0,Miss
24,1,1,"Sloper, Mr. William Thompson",Male,28.0,0,0,113788,35.5,A6,S,1,Mr
25,0,3,"Palsson, Miss. Torborg Danira",Female,8.0,3,1,349909,21.08,Unknown,S,0,Miss
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Female,38.0,1,5,347077,31.39,Unknown,S,0,Mrs
27,0,3,"Emir, Mr. Farred Chehab",Male,25.0,0,0,2631,7.22,Unknown,C,0,Mr
28,0,1,"Fortune, Mr. Charles Alexander",Male,19.0,3,2,19950,65.63,C23 C25 C27,S,1,Mr
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",Female,21.5,0,0,330959,7.88,Unknown,Q,0,Miss
30,0,3,"Todoroff, Mr. Lalio",Male,25.0,0,0,349216,7.9,Unknown,S,0,Mr
31,0,1,"Uruchurtu, Don. Manuel E",Male,40.0,0,0,PC 17601,27.72,Unknown,C,0,Rare
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",Female,35.0,1,0,PC 17569,65.63,B78,C,1,Mrs
33,1,3,"Glynn, Miss. Mary Agatha",Female,21.5,0,0,335677,7.75,Unknown,Q,0,Miss
34,0,2,"Wheadon, Mr. Edward H",Male,66.0,0,0,C.A. 24579,10.5,Unknown,S,0,Mr
35,0,1,"Meyer, Mr. Edgar Joseph",Male,28.0,1,0,PC 17604,65.63,Unknown,C,0,Mr
36,0,1,"Holverson, Mr. Alexander Oskar",Male,42.0,1,0,113789,52.0,Unknown,S,0,Mr
37,1,3,"Mamee, Mr. Hanna",Male,25.0,0,0,2677,7.23,Unknown,C,0,Mr
38,0,3,"Cann, Mr. Ernest Charles",Male,21.0,0,0,A./5. 2152,8.05,Unknown,S,0,Mr
39,0,3,"Vander Planke, Miss. Augusta Maria",Female,18.0,2,0,345764,18.0,Unknown,S,0,Miss
40,1,3,"Nicola-Yarred, Miss. Jamila",Female,14.0,1,0,2651,11.24,Unknown,C,0,Miss
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Female,40.0,1,0,7546,9.48,Unknown,S,0,Mrs
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Female,27.0,1,0,11668,21.0,Unknown,S,0,Mrs
43,0,3,"Kraeff, Mr. Theodor",Male,25.0,0,0,349253,7.9,Unknown,C,0,Mr
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",Female,3.0,1,2,SC/Paris 2123,41.58,Unknown,C,0,Miss
45,1,3,"Devaney, Miss. Margaret Delia",Female,19.0,0,0,330958,7.88,Unknown,Q,0,Miss
46,0,3,"Rogers, Mr. William John",Male,25.0,0,0,S.C./A.4. 23567,8.05,Unknown,S,0,Mr
47,0,3,"Lennon, Mr. Denis",Male,25.0,1,0,370371,15.5,Unknown,Q,0,Mr
48,1,3,"O'Driscoll, Miss. Bridget",Female,21.5,0,0,14311,7.75,Unknown,Q,0,Miss
49,0,3,"Samaan, Mr. Youssef",Male,25.0,2,0,2662,21.68,Unknown,C,0,Mr
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Female,18.0,1,0,349237,17.8,Unknown,S,0,Mrs
51,0,3,"Panula, Master. Juha Niilo",Male,7.0,4,1,3101295,39.69,Unknown,S,0,Master
52,0,3,"Nosworthy, Mr. Richard Cater",Male,21.0,0,0,A/4. 39886,7.8,Unknown,S,0,Mr
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Female,49.0,1,0,PC 17572,65.63,D33,C,1,Mrs
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Female,29.0,1,0,2926,26.0,Unknown,S,0,Mrs
55,0,1,"Ostby, Mr. Engelhart Cornelius",Male,65.0,0,1,113509,61.98,B30,C,1,Mr
56,1,1,"Woolner, Mr. Hugh",Male,40.0,0,0,19947,35.5,C52,S,1,Mr
57,1,2,"Rugg, Miss. Emily",Female,21.0,0,0,C.A. 31026,10.5,Unknown,S,0,Miss
58,0,3,"Novel, Mr. Mansouer",Male,28.5,0,0,2697,7.23,Unknown,C,0,Mr
59,1,2,"West, Miss. Constance Mirium",Female,5.0,1,2,C.A. 34651,27.75,Unknown,S,0,Miss
60,0,3,"Goodwin, Master. William Frederick",Male,11.0,5,2,CA 2144,46.9,Unknown,S,0,Master
61,0,3,"Sirayanian, Mr. Orsen",Male,22.0,0,0,2669,7.23,Unknown,C,0,Mr
62,1,1,"Icard, Miss. Amelie",Female,38.0,0,0,113572,65.63,B28,S,1,Miss
63,0,1,"Harris, Mr. Henry Birkhardt",Male,45.0,1,0,36973,65.63,C83,S,1,Mr
64,0,3,"Skoog, Master. Harald",Male,4.0,3,2,347088,27.9,Unknown,S,0,Master
65,0,1,"Stewart, Mr. Albert A",Male,40.0,0,0,PC 17605,27.72,Unknown,C,0,Mr
66,1,3,"Moubarek, Master. Gerios",Male,25.0,1,1,2661,15.25,Unknown,C,0,Master
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",Female,29.0,0,0,C.A. 29395,10.5,F33,S,1,Mrs
68,0,3,"Crease, Mr. Ernest James",Male,19.0,0,0,S.P. 3464,8.16,Unknown,S,0,Mr
69,1,3,"Andersson, Miss. Erna Alexandra",Female,17.0,4,2,3101281,7.92,Unknown,S,0,Miss
70,0,3,"Kink, Mr. Vincenz",Male,26.0,2,0,315151,8.66,Unknown,S,0,Mr
71,0,2,"Jenkin, Mr. Stephen Curnow",Male,32.0,0,0,C.A. 33111,10.5,Unknown,S,0,Mr
72,0,3,"Goodwin, Miss. Lillian Amy",Female,16.0,5,2,CA 2144,46.9,Unknown,S,0,Miss
73,0,2,"Hood, Mr. Ambrose Jr",Male,21.0,0,0,S.O.C. 14879,65.63,Unknown,S,0,Mr
74,0,3,"Chronopoulos, Mr. Apostolos",Male,26.0,1,0,2680,14.45,Unknown,C,0,Mr
75,1,3,"Bing, Mr. Lee",Male,32.0,0,0,1601,56.5,Unknown,S,0,Mr
76,0,3,"Moen, Mr. Sigurd Hansen",Male,25.0,0,0,348123,7.65,F G73,S,1,Mr
77,0,3,"Staneff, Mr. Ivan",Male,25.0,0,0,349208,7.9,Unknown,S,0,Mr
78,0,3,"Moutal, Mr. Rahamin Haim",Male,25.0,0,0,374746,8.05,Unknown,S,0,Mr
79,1,2,"Caldwell, Master. Alden Gates",Male,0.8,0,2,248738,29.0,Unknown,S,0,Master
80,1,3,"Dowdell, Miss. Elizabeth",Female,30.0,0,0,364516,12.48,Unknown,S,0,Miss
81,0,3,"Waelens, Mr. Achille",Male,22.0,0,0,345767,9.0,Unknown,S,0,Mr
82,1,3,"Sheerlinck, Mr. Jan Baptist",Male,29.0,0,0,345779,9.5,Unknown,S,0,Mr
83,1,3,"McDermott, Miss. Brigdet Delia",Female,21.5,0,0,330932,7.79,Unknown,Q,0,Miss
84,0,1,"Carrau, Mr. Francisco M",Male,28.0,0,0,113059,47.1,Unknown,S,0,Mr
85,1,2,"Ilett, Miss. Bertha",Female,17.0,0,0,SO/C 14885,10.5,Unknown,S,0,Miss
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",Female,33.0,3,0,3101278,15.85,Unknown,S,0,Mrs
87,0,3,"Ford, Mr. William Neal",Male,16.0,1,3,W./C. 6608,34.38,Unknown,S,0,Mr
88,0,3,"Slocovski, Mr. Selman Francis",Male,25.0,0,0,SOTON/OQ 392086,8.05,Unknown,S,0,Mr
89,1,1,"Fortune, Miss. Mabel Helen",Female,23.0,3,2,19950,65.63,C23 C25 C27,S,1,Miss
90,0,3,"Celotti, Mr. Francesco",Male,24.0,0,0,343275,8.05,Unknown,S,0,Mr
91,0,3,"Christmann, Mr. Emil",Male,29.0,0,0,343276,8.05,Unknown,S,0,Mr
92,0,3,"Andreasson, Mr. Paul Edvin",Male,20.0,0,0,347466,7.85,Unknown,S,0,Mr
93,0,1,"Chaffee, Mr. Herbert Fuller",Male,46.0,1,0,W.E.P. 5734,61.18,E31,S,1,Mr
94,0,3,"Dean, Mr. Bertram Frank",Male,26.0,1,2,C.A. 2315,20.58,Unknown,S,0,Mr
95,0,3,"Coxon, Mr. Daniel",Male,59.0,0,0,364500,7.25,Unknown,S,0,Mr
96,0,3,"Shorney, Mr. Charles Joseph",Male,25.0,0,0,374910,8.05,Unknown,S,0,Mr
97,0,1,"Goldschmidt, Mr. George B",Male,71.0,0,0,PC 17754,34.65,A5,C,1,Mr
98,1,1,"Greenfield, Mr. William Bertram",Male,23.0,0,1,PC 17759,63.36,D10 D12,C,1,Mr
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",Female,34.0,0,1,231919,23.0,Unknown,S,0,Mrs
100,0,2,"Kantor, Mr. Sinai",Male,34.0,1,0,244367,26.0,Unknown,S,0,Mr
101,0,3,"Petranec, Miss. Matilda",Female,28.0,0,0,349245,7.9,Unknown,S,0,Miss
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",Male,25.0,0,0,349215,7.9,Unknown,S,0,Mr
103,0,1,"White, Mr. Richard Frasar",Male,21.0,0,1,35281,65.63,D26,S,1,Mr
104,0,3,"Johansson, Mr. Gustaf Joel",Male,33.0,0,0,7540,8.65,Unknown,S,0,Mr
105,0,3,"Gustafsson, Mr. Anders Vilhelm",Male,37.0,2,0,3101276,7.92,Unknown,S,0,Mr
106,0,3,"Mionoff, Mr. Stoytcho",Male,28.0,0,0,349207,7.9,Unknown,S,0,Mr
107,1,3,"Salkjelsvik, Miss. Anna Kristine",Female,21.0,0,0,343120,7.65,Unknown,S,0,Miss
108,1,3,"Moss, Mr. Albert Johan",Male,25.0,0,0,312991,7.78,Unknown,S,0,Mr
109,0,3,"Rekic, Mr. Tido",Male,38.0,0,0,349249,7.9,Unknown,S,0,Mr
110,1,3,"Moran, Miss. Bertha",Female,21.5,1,0,371110,24.15,Unknown,Q,0,Miss
111,0,1,"Porter, Mr. Walter Chamberlain",Male,47.0,0,0,110465,52.0,C110,S,1,Mr
112,0,3,"Zabour, Miss. Hileni",Female,14.5,1,0,2665,14.45,Unknown,C,0,Miss
113,0,3,"Barton, Mr. David John",Male,22.0,0,0,324669,8.05,Unknown,S,0,Mr
114,0,3,"Jussila, Miss. Katriina",Female,20.0,1,0,4136,9.82,Unknown,S,0,Miss
115,0,3,"Attalah, Miss. Malake",Female,17.0,0,0,2627,14.46,Unknown,C,0,Miss
116,0,3,"Pekoniemi, Mr. Edvard",Male,21.0,0,0,STON/O 2. 3101294,7.92,Unknown,S,0,Mr
117,0,3,"Connors, Mr. Patrick",Male,70.5,0,0,370369,7.75,Unknown,Q,0,Mr
118,0,2,"Turpin, Mr. William John Robert",Male,29.0,1,0,11668,21.0,Unknown,S,0,Mr
119,0,1,"Baxter, Mr. Quigg Edmond",Male,24.0,0,1,PC 17558,65.63,B58 B60,C,1,Mr
120,0,3,"Andersson, Miss. Ellis Anna Maria",Female,2.0,4,2,347082,31.28,Unknown,S,0,Miss
121,0,2,"Hickman, Mr. Stanley George",Male,21.0,2,0,S.O.C. 14879,65.63,Unknown,S,0,Mr
