order_id,order_date,customer_id,customer_name,age,gender,region,city,product_category,product_name,quantity,unit_price,discount_pct,sales_amount,profit,shipping_cost,payment_method,customer_satisfaction,return_flag,order_status,days_to_ship,year,month,year_month,quarter,day_of_week,age_group,profit_margin_pct
ORD-03903,2024-08-15,CUST32603,Aarav Mehta,39,Other,Central,Raipur,Groceries,Sugar,8,346.32,0.0,2770.56,289.18,56.04,Debit Card,3.0,True,Returned,7,2024,8,2024-08,2024Q3,Thursday,36-50,10.44
ORD-02198,2022-08-16,CUST07881,Sanjay Verma,28,Male,West,Mumbai,Beauty,Sunscreen,8,858.66,0.08,6319.74,5355.56,64.49,Debit Card,5.0,False,Delivered,2,2022,8,2022-08,2022Q3,Tuesday,26-35,84.74
ORD-01348,2021-08-29,CUST49296,Pooja Sharma,41,Other,West,Surat,Furniture,Sofa,4,25941.32,0.14,89238.14,36956.51,67.65,Debit Card,4.0,False,Delivered,5,2021,8,2021-08,2021Q3,Sunday,36-50,41.41
ORD-02076,2022-07-05,CUST05587,Priya Reddy,29,Other,West,Ahmedabad,Furniture,Bed Frame,9,22071.92,0.17,164877.24,66644.99,54.47,EMI,3.0,False,Delivered,4,2022,7,2022-07,2022Q3,Tuesday,26-35,40.42
ORD-00287,2020-05-07,CUST58035,Ritu Sharma,35,Male,Central,Nagpur,Groceries,Cooking Oil,1,320.06,0.31,220.84,31.38,48.81,Net Banking,4.0,False,Pending,4,2020,5,2020-05,2020Q2,Thursday,26-35,14.21
ORD-01412,2021-09-28,CUST02453,Arjun Shah,31,Female,Central,Bhopal,Books,Self-Help Book,3,329.03,0.02,967.35,375.07,77.34,Credit Card,5.0,True,Returned,10,2021,9,2021-09,2021Q3,Tuesday,26-35,38.77
ORD-02911,2023-06-10,CUST23285,Aditya Sharma,43,Female,North,Amritsar,Clothing,Saree,1,1356.6,0.01,1343.03,717.27,82.68,UPI,1.0,False,Delivered,4,2023,6,2023-06,2023Q2,Saturday,36-50,53.41
ORD-00465,2020-07-24,CUST23609,Aditya Patel,44,Female,East,Patna,Books,Self-Help Book,8,495.77,0.37,2498.68,1338.88,84.5,Debit Card,1.0,False,Cancelled,10,2020,7,2020-07,2020Q3,Friday,36-50,53.58
ORD-00105,2020-02-09,CUST75337,Arjun Das,17,FEMALE,East,Patna,Clothing,Kurta,9,2128.77,0.1,17243.04,4173.45,75.33,UPI,3.0,False,Delivered,8,2020,2,2020-02,2020Q1,Sunday,18-25,24.2
ORD-00362,2020-06-04,CUST80340,Meera Mishra,51,Other,Central,Raipur,Furniture,Wardrobe,3,24460.8,0.15,62375.04,14762.22,60.11,UPI,1.0,False,Delivered,8,2020,6,2020-06,2020Q2,Thursday,51-65,23.67
ORD-01701,2022-01-28,CUST47772,Shreya Bose,35,Female,West,Ahmedabad,Groceries,Dal (1kg),2,274.81,0.15,467.18,24.26,46.69,EMI,4.0,False,Delivered,4,2022,1,2022-01,2022Q1,Friday,26-35,5.19
ORD-02270,2022-09-14,CUST31062,Vikram Pillai,15,Other,North,Ludhiana,Beauty,Lipstick,7,111.14,0.37,490.13,305.65,44.94,Net Banking,4.0,False,Delivered,9,2022,9,2022-09,2022Q3,Wednesday,18-25,62.36
ORD-03417,2024-01-21,CUST83946,Karan Bose,29,Female,West,Pune,Books,Cook Book,10,1492.28,0.38,9252.14,4336.31,66.67,Debit Card,3.0,True,Returned,6,2024,1,2024-01,2024Q1,Sunday,26-35,46.87
ORD-02532,2023-01-04,CUST73360,Deepa Joshi,53,Male,South,Kochi,Clothing,T-Shirt,9,590.14,0.0,5311.26,2277.4,79.19,EMI,1.0,False,Delivered,4,2023,1,2023-01,2023Q1,Wednesday,51-65,42.88
